id,name,distance,mass,radius
0,54 Piscium,36.1,53,0.798691378056286
1,81 Cancri,66,No Info,No Info
2,AB Pictoris,66.6,13.5,No Info
3,CD−33°7795,163.08,20,No Info
4,CT Chamaeleontis,538,17,2.2
5,Eta Coronae Borealis,58.3,63,No Info
6,G 196-3,50.2,25,No Info
7,GD 165,103,No Info,No Info
8,Gliese 570,19.0,52,No Info
9,GU Piscium,155.3,11,No Info
10,HD 89744,126.2,No Info,No Info
11,HD 100546,337.25,20,No Info
12,HN Pegasi,58.3,28,1.01
13,LHS 4040 [es],No Info,No Info,No Info
14,UScoCTIO 108,473,14,No Info
15,WD 0137-349,330,53,No Info
16,HD 41004 B,139,18.4,No Info
17,HD 149382,241,15.5,No Info
18,COROT-15,No Info,63.4,1.12
19,Xi Ursae Majoris B,25.11,37,No Info
20,Upsilon Andromedae,43.9,13.98,No Info
21,Gliese 758,51.9,23,No Info
22,HD 112758,53.81,35,No Info
23,BD−04°782,66.6,21,No Info
24,HD 110833,55.44,17,No Info
25,HD 89707,81.54,54,No Info
26,Tau Geminorum,302,18.1,No Info
27,HAT-P-13,698,15.2,No Info
28,HD 217580,58.7,60,No Info
29,HD 16760,163,14.3,No Info
30,HD 13189,603.4,14,No Info
31,HD 18445,83.92,39,No Info
32,HD 8673,124.75,14,No Info
33,NGC 4349-127,7097,19.8,No Info
34,Gliese 569,31.5,116[7],No Info
35,HD 29587,146.77,40,No Info
36,ChaHα8,522,18,No Info
37,COROT-20,4000,17,No Info
38,HD 168443,123.5,34,No Info
39,HD 38529 A,138,37,No Info
40,Epsilon Indi,11.8,28,No Info
41,HW Virginis,590,19.23,No Info
42,DT Virginis,37.55,12.5,1.1
43,HD 4113,136,60,No Info
44,Gliese 229,19,40,No Info
45,TYC 9486-927-1,111,13.3 (± 1.7)  MJ,No Info
46,Epsilon Indi,11.8,47,No Info
47,HD 131664,180.8,18.15,No Info
48,HD 136118,171,42,No Info
49,HD 140913,156.42,46,No Info
50,GQ Lupi b,400,1-42,1.8
51,HD 162020,101.95,15.0,No Info
52,Nu Ophiuchi,152.8,21.9,No Info
53,HD 164427,127.52,46,No Info
54,SCR 1845-6357,12.57,40-50,No Info
55,COROT-3,2220,21.66,1.01
56,15 Sagittae,57.7,65,No Info
57,Zeta Delphini,220,55,No Info
58,HD 202206,151.14,17.4,No Info
